Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
471,23,female,2,own,little,little,448,6,education,bad
622,38,male,2,own,,,3914,48,business,bad
759,35,male,2,own,little,little,691,12,car,bad
54,57,male,2,free,little,moderate,2225,36,car,bad
737,35,male,1,own,moderate,little,4380,18,car,good
904,36,male,3,own,little,,1278,24,radio/TV,good
542,31,male,2,own,,little,6350,30,furniture/equipment,bad
498,32,male,1,own,little,moderate,1301,18,radio/TV,good
693,44,male,1,own,,little,4716,6,car,good
830,44,male,2,own,quite rich,,2375,24,business,good
614,22,female,2,own,little,,1808,18,furniture/equipment,bad
288,49,female,2,own,little,moderate,1092,12,radio/TV,good
966,23,male,1,own,quite rich,moderate,2520,27,radio/TV,bad
360,61,male,2,free,,moderate,1239,18,education,good
497,40,male,2,own,little,,1585,24,furniture/equipment,good
230,26,male,2,own,little,rich,4210,36,radio/TV,bad
728,59,female,2,rent,little,moderate,6416,48,business,bad
433,33,male,2,own,little,,2058,24,repairs,good
553,27,male,2,own,moderate,moderate,1995,12,car,good
304,44,male,2,free,quite rich,,10127,48,car,bad
706,24,male,2,own,moderate,moderate,6560,48,car,bad
605,22,male,2,own,quite rich,little,2828,24,furniture/equipment,good
672,42,male,3,own,little,,10366,60,car,good
145,30,male,2,own,moderate,moderate,3566,48,business,good
287,31,male,3,free,moderate,moderate,7582,48,vacation/others,good
251,46,female,1,own,little,rich,2251,12,furniture/equipment,good
549,35,male,2,free,,,8858,48,car,good
68,37,male,2,free,little,,1819,36,education,bad
114,35,male,2,own,quite rich,little,1680,12,radio/TV,good
210,33,male,2,own,,,3074,9,radio/TV,good
817,24,female,2,rent,little,,1554,6,radio/TV,good
836,21,female,2,own,,,886,12,radio/TV,good
425,21,male,2,rent,little,moderate,2779,18,car,good
990,37,male,1,own,,,3565,12,education,good
935,30,male,3,own,moderate,moderate,1919,30,radio/TV,bad
227,53,male,3,free,little,little,7865,12,furniture/equipment,bad
294,46,male,3,own,,,7629,48,business,good
652,45,male,2,own,little,little,2303,24,car,bad
289,48,male,2,own,little,little,1024,24,radio/TV,bad
66,29,female,2,own,little,,2171,12,radio/TV,good
589,60,male,2,own,little,little,2246,12,furniture/equipment,bad
385,25,female,2,own,little,,2238,18,radio/TV,good
136,27,male,2,own,rich,,8613,27,car,good
364,25,male,0,own,little,little,2473,18,furniture/equipment,bad
686,27,male,2,own,,rich,1347,10,radio/TV,good
756,74,male,0,own,little,rich,1299,6,car,good
101,24,male,2,rent,little,moderate,2323,36,radio/TV,good
110,31,male,2,own,moderate,moderate,1449,6,business,good
857,28,male,2,free,little,,3343,15,furniture/equipment,good
392,39,male,3,free,little,little,3249,36,car,good
574,27,male,1,own,little,moderate,1082,9,radio/TV,good
208,21,male,1,own,little,little,6568,24,business,good
927,39,male,2,free,little,little,10297,48,car,bad
858,29,female,2,own,little,little,3959,15,car,bad
950,40,male,0,own,little,moderate,3590,18,business,good
548,24,female,1,own,little,little,626,12,radio/TV,bad
255,27,male,1,own,,moderate,7418,60,radio/TV,good
749,33,male,2,own,little,,3029,15,car,good
799,35,male,0,own,,moderate,1549,9,car,good
886,34,male,2,own,,moderate,2825,24,business,good
79,22,male,2,own,little,moderate,3832,30,furniture/equipment,good
18,44,female,3,free,little,moderate,12579,24,car,bad
37,37,male,2,own,little,rich,2100,18,radio/TV,bad
97,34,male,2,own,moderate,moderate,2622,18,business,good
410,20,female,2,own,little,moderate,1967,24,radio/TV,good
332,24,female,3,own,moderate,moderate,7408,60,car,bad
583,33,male,1,rent,little,moderate,2384,36,repairs,bad
393,31,female,2,own,little,little,1957,6,radio/TV,good
426,29,male,2,own,little,,2743,28,radio/TV,good
123,63,male,2,free,little,rich,781,10,car,good
268,45,male,3,own,little,little,8978,14,car,bad
770,26,female,2,rent,,little,2812,24,car,good
646,32,male,2,own,little,little,4583,30,furniture/equipment,good
933,42,male,2,own,quite rich,,522,12,radio/TV,good
813,54,male,2,own,little,little,3051,48,domestic appliances,bad
58,23,female,3,own,little,rich,1961,18,car,good
372,23,female,2,rent,little,,2146,10,furniture/equipment,good
618,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,bad
885,53,female,2,own,little,little,795,12,education,bad
459,32,male,2,own,little,,4594,18,radio/TV,good
455,29,female,3,own,little,,2679,24,car,good
849,57,male,1,own,little,little,709,12,radio/TV,bad
185,31,male,2,own,little,,1360,15,radio/TV,good
715,63,male,2,own,,,7596,30,car,good
959,30,male,2,free,moderate,moderate,3069,24,furniture/equipment,good
628,36,male,2,own,quite rich,,4042,42,furniture/equipment,good
313,25,male,1,own,little,moderate,685,12,car,bad
84,52,male,1,own,little,little,2315,10,radio/TV,good
404,43,male,2,own,,moderate,2899,18,car,good
707,25,female,2,rent,little,moderate,2969,12,furniture/equipment,bad
28,34,male,2,own,little,moderate,2415,7,radio/TV,good
762,24,male,1,own,little,little,2214,12,radio/TV,good
142,27,male,3,own,little,little,3416,27,radio/TV,good
961,47,male,2,own,little,moderate,2353,21,car,good
578,27,male,2,own,little,moderate,2820,36,car,bad
919,39,male,3,rent,little,little,3345,24,furniture/equipment,bad
13,60,male,1,own,little,little,1199,24,car,bad
508,28,male,2,own,little,,1413,24,radio/TV,good
158,38,male,2,own,moderate,moderate,3512,24,car,good
38,37,male,2,own,little,rich,1225,10,domestic appliances,good
46,39,male,2,own,quite rich,,2299,36,radio/TV,good
312,26,female,2,own,little,rich,3749,24,furniture/equipment,good
780,25,male,2,own,little,moderate,4933,39,radio/TV,bad
445,41,female,1,rent,,,1244,9,education,good
902,42,male,2,free,,,10477,36,car,good
42,44,male,1,own,little,moderate,6204,18,repairs,good
657,37,male,2,own,,,10222,48,radio/TV,good
515,37,female,2,own,little,little,609,6,car,good
109,35,male,2,own,quite rich,moderate,1410,14,business,good
507,34,male,3,own,moderate,moderate,6850,15,car,bad
147,51,female,2,own,moderate,,682,12,car,good
765,40,male,1,own,little,moderate,1155,12,radio/TV,good
126,40,male,1,own,little,little,701,12,radio/TV,good
581,49,male,1,own,little,moderate,3124,12,car,good
772,36,male,3,own,little,,3275,21,car,good
436,23,male,1,rent,quite rich,,660,6,repairs,good
466,29,female,1,rent,little,little,1659,24,radio/TV,bad
241,51,male,2,own,little,,1595,6,radio/TV,good
632,23,male,2,own,,moderate,1444,15,radio/TV,good
522,53,male,2,free,little,little,7119,48,furniture/equipment,bad
791,41,male,3,own,,,6313,24,car,good
625,35,male,2,own,,,1979,15,radio/TV,good
637,21,male,2,own,little,,15653,60,radio/TV,good
591,42,female,2,rent,,moderate,1965,24,car,good
213,66,male,3,own,little,rich,1908,30,business,bad
564,37,male,3,own,,moderate,4712,24,business,good
833,42,female,2,own,,moderate,5084,24,radio/TV,good
90,56,male,2,own,little,,618,12,radio/TV,good
2,49,male,1,own,little,,2096,12,education,good
745,28,male,1,own,little,little,1797,13,business,good
233,25,male,1,own,little,moderate,866,18,radio/TV,good
996,40,male,3,own,little,little,3857,30,car,good
897,35,female,2,own,rich,,1592,12,furniture/equipment,good
939,46,male,3,own,,,6842,24,car,good
9,28,male,3,own,little,moderate,5234,30,car,bad
146,39,female,2,own,little,little,860,6,car,good
275,32,male,2,own,little,,2697,9,radio/TV,good
533,26,male,2,own,moderate,,1311,24,radio/TV,good
767,31,female,2,rent,,,2901,10,car,good
789,27,male,2,own,little,little,5998,40,education,bad
140,27,male,0,own,rich,rich,709,6,car,good
317,48,female,1,own,,moderate,4351,24,furniture/equipment,good
388,27,male,2,own,quite rich,moderate,2326,15,business,good
971,43,male,1,own,little,,7393,24,car,good
776,37,male,2,own,little,,3535,36,car,good
264,32,male,1,own,little,,1231,10,car,good
521,24,female,2,own,little,little,3190,18,radio/TV,bad
545,43,male,2,free,little,little,1333,24,car,bad
592,36,female,1,own,rich,,1572,21,business,good
595,32,female,1,own,moderate,moderate,931,6,car,bad
877,28,male,2,own,little,,3595,36,radio/TV,good
130,24,female,2,own,,moderate,8487,48,car,good
345,43,female,1,own,little,,1459,15,radio/TV,good
69,25,female,2,own,,,2394,36,radio/TV,good
742,41,male,2,own,,,3160,21,radio/TV,good
314,29,male,1,own,,rich,1494,4,car,good
800,54,male,2,free,little,,1597,24,education,good
247,35,male,2,rent,moderate,,1204,6,car,good
359,23,female,2,rent,little,little,2406,30,furniture/equipment,bad
59,23,female,1,rent,little,little,6229,36,furniture/equipment,bad
271,37,female,2,rent,quite rich,,1402,12,furniture/equipment,good
85,29,female,3,own,little,,1412,12,business,good
782,31,male,1,own,little,moderate,1410,12,education,good
319,27,female,1,own,little,little,3643,15,furniture/equipment,good
239,39,male,2,own,little,little,2522,30,radio/TV,good
285,35,female,1,own,little,little,10722,47,car,good
22,48,male,1,rent,little,little,2241,10,car,good
21,44,male,2,rent,quite rich,little,2647,6,radio/TV,good
451,29,female,2,own,little,,518,6,radio/TV,good
229,22,male,2,free,little,little,3149,24,furniture/equipment,good
928,58,male,2,own,,,1867,30,radio/TV,good
825,30,male,2,own,little,little,1602,21,car,good
150,42,male,2,free,moderate,,1346,6,radio/TV,good
458,27,female,2,own,little,little,343,6,domestic appliances,good
191,34,male,1,free,moderate,moderate,3844,48,business,bad
45,35,female,3,own,little,,1393,11,car,good
698,24,male,2,own,little,,1800,18,radio/TV,good
309,22,male,1,rent,little,moderate,276,9,car,good
149,46,male,2,own,rich,,1582,18,radio/TV,good
854,45,male,2,own,little,,10875,36,car,good
224,30,male,2,own,little,,4657,15,car,good
8,61,male,1,own,rich,,3059,12,radio/TV,good
298,43,male,2,own,little,,2515,18,furniture/equipment,good
568,41,male,2,own,,moderate,3979,48,radio/TV,good
865,20,female,2,rent,quite rich,,2221,15,furniture/equipment,good
823,47,male,1,own,little,little,731,8,car,good
187,68,male,0,free,little,moderate,1175,16,car,good
699,40,male,3,rent,little,rich,1905,15,education,good
709,37,male,1,own,little,moderate,2118,9,radio/TV,good
328,31,male,2,own,little,rich,4473,36,radio/TV,good
900,43,male,2,rent,little,little,2625,16,car,bad
608,33,male,2,own,little,,2051,18,radio/TV,good
349,32,male,2,free,rich,moderate,1136,9,education,bad
400,39,male,2,own,little,,1473,18,radio/TV,good
40,30,male,3,own,quite rich,,2333,30,radio/TV,good
96,61,female,2,own,,,2012,12,education,good
243,27,female,2,own,little,,1185,12,business,good
593,20,female,1,rent,little,moderate,2718,24,car,bad
422,47,male,1,own,little,moderate,958,12,car,good
398,46,male,2,rent,little,moderate,1223,12,car,bad
586,36,male,2,rent,little,little,2799,9,car,good
181,30,male,3,own,little,moderate,4455,36,business,bad
322,34,male,3,free,little,little,2910,24,car,good
124,27,female,2,rent,,moderate,1924,18,furniture/equipment,bad
702,47,female,2,free,moderate,rich,1377,24,radio/TV,good
88,30,male,3,own,moderate,little,2249,18,car,good
3,45,male,2,free,little,little,7882,42,furniture/equipment,good
41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,good
724,21,female,2,rent,little,,2570,27,car,bad
644,32,male,3,own,little,little,1880,18,radio/TV,good
888,34,male,3,own,little,,6614,36,car,good
462,34,female,3,rent,little,moderate,3017,12,furniture/equipment,good
279,29,male,3,rent,moderate,,1901,24,radio/TV,good
819,26,male,2,own,little,little,1345,18,radio/TV,bad
111,23,female,2,rent,little,rich,392,15,education,good
300,54,female,0,own,little,,672,6,car,good
852,35,male,2,free,little,,1471,15,radio/TV,good
327,34,female,2,own,rich,,1525,24,car,good
921,37,male,3,own,quite rich,,12749,48,radio/TV,good
623,22,female,2,rent,little,little,1858,12,furniture/equipment,good
415,35,male,2,own,little,,5842,36,car,good
916,32,male,2,own,moderate,,2848,10,car,good
419,33,female,2,own,,moderate,1042,18,car,bad
582,26,female,2,rent,little,,1388,9,furniture/equipment,good
75,66,male,3,free,little,little,1526,12,car,good
920,28,female,2,own,little,,1817,18,furniture/equipment,good
113,25,female,2,own,little,,7855,36,car,bad
739,26,female,1,rent,moderate,moderate,4280,30,business,bad
734,37,female,2,own,little,,3380,4,car,good
529,41,male,1,own,little,little,662,6,car,good
995,31,female,1,own,little,,1736,12,furniture/equipment,good
174,26,male,2,own,little,little,3414,21,education,bad
820,27,male,2,own,little,,1101,12,car,good
363,21,male,2,rent,little,,1766,6,furniture/equipment,good
377,36,male,2,free,,,846,7,radio/TV,good
601,30,female,2,own,little,moderate,918,9,furniture/equipment,bad
794,32,male,2,rent,quite rich,,3062,24,furniture/equipment,good
62,61,male,3,free,little,moderate,1953,36,business,bad
906,24,male,1,own,,little,3763,21,car,good
343,33,male,3,own,little,moderate,4439,18,business,good
731,21,male,1,rent,little,little,1987,24,radio/TV,bad
899,42,male,2,own,little,little,4153,18,furniture/equipment,bad
423,34,male,3,own,moderate,,1591,21,furniture/equipment,good
72,51,male,3,free,little,little,1164,8,vacation/others,good
708,25,female,2,own,little,moderate,1206,9,radio/TV,good
121,41,female,3,rent,little,,3868,24,car,good
569,31,female,2,own,little,little,6758,48,radio/TV,bad
719,31,male,2,own,moderate,moderate,6148,20,car,good
565,23,female,2,rent,moderate,moderate,1553,24,radio/TV,good
733,28,female,2,rent,rich,,2603,24,car,good
537,37,female,2,own,little,moderate,3612,18,furniture/equipment,good
879,36,male,2,own,,,6742,30,radio/TV,good
953,26,female,3,own,little,,10974,36,furniture/equipment,bad
960,30,male,2,rent,little,,1740,6,radio/TV,good
303,49,male,2,own,little,little,1038,10,car,good
417,23,female,2,rent,,little,8471,18,education,good
905,20,male,3,rent,little,little,1107,12,radio/TV,good
353,28,male,2,rent,little,little,6199,12,radio/TV,bad
490,26,male,2,own,little,,1934,12,radio/TV,good
955,57,female,3,rent,rich,little,1231,24,radio/TV,good
492,27,female,2,own,moderate,,1237,6,radio/TV,good
163,70,male,3,free,little,moderate,7308,10,car,good
290,26,male,2,own,little,,1076,12,business,good
226,27,male,2,own,rich,moderate,10961,48,radio/TV,bad
761,24,female,2,rent,little,little,2124,18,furniture/equipment,bad
161,30,female,2,own,little,,1055,18,car,good
203,21,male,2,rent,little,little,902,12,education,bad
945,30,female,2,own,quite rich,moderate,8358,48,car,good
249,22,female,2,rent,little,,433,18,radio/TV,bad
681,37,male,2,free,,,2279,12,radio/TV,good
277,49,male,1,own,,little,1262,12,furniture/equipment,good
701,46,male,2,free,little,little,6331,48,car,bad
74,40,male,3,own,,little,1977,36,education,bad
223,32,male,2,own,,,2978,24,business,good
384,26,male,1,own,moderate,,4272,30,business,good
503,38,male,2,own,moderate,moderate,1216,24,radio/TV,bad
182,40,male,1,own,,little,1647,21,car,bad
712,46,male,3,own,,,2476,21,car,good
889,40,male,2,rent,,,7824,28,car,good
775,25,female,2,rent,,little,1371,24,car,bad
180,28,male,2,own,little,,9572,36,business,bad
132,27,male,1,own,little,,2708,15,furniture/equipment,good
399,43,female,1,own,rich,,1516,24,radio/TV,good
766,31,male,1,own,little,little,3108,30,furniture/equipment,bad
39,24,male,2,own,little,moderate,458,9,radio/TV,good
73,41,female,1,own,little,moderate,5954,42,business,good
558,27,male,2,own,little,little,3552,24,furniture/equipment,bad
729,36,male,2,own,rich,rich,1275,24,business,good
338,28,male,2,own,little,little,4169,24,furniture/equipment,good
685,34,male,2,free,,,6527,60,car,good
